availability,downvotes,error,expertise,reputation,tag_sim_expertise,upvotes,views
-100,1,6823061,1,1,1,1,1
1400,1,971566,1,1,1,1,1
2900,1,971660,1,1,1,1,1
4400,1,971724,1,1,1,1,1
5900,1,971725,1,1,1,1,1
7400,1,971731,1,1,1,1,1
8900,1,971733,1,1,1,1,1
1,1,6412147,1,-100,1,1,1
1,1,1450150,1,1400,1,1,1
1,1,1514336,1,2900,1,1,1
1,1,1543146,1,4400,1,1,1
1,1,1558154,1,5900,1,1,1
1,1,1568443,1,7400,1,1,1
1,1,1577037,1,8900,1,1,1
1,1,3344530,1,1,1,1,-100
1,1,1110449,1,1,1,1,1400
1,1,1199371,1,1,1,1,2900
1,1,1249390,1,1,1,1,4400
1,1,1288260,1,1,1,1,5900
1,1,1317709,1,1,1,1,7400
1,1,1341969,1,1,1,1,8900
1,1,6079028,1,1,1,-100,1
1,1,1689626,1,1,1,1400,1
1,1,1753776,1,1,1,2900,1
1,1,1777059,1,1,1,4400,1
1,1,1794763,1,1,1,5900,1
1,1,1802890,1,1,1,7400,1
1,1,1808124,1,1,1,8900,1
1,-100,3728974,1,1,1,1,1
1,1400,1202461,1,1,1,1,1
1,2900,1286942,1,1,1,1,1
1,4400,1344977,1,1,1,1,1
1,5900,1374234,1,1,1,1,1
1,7400,1401731,1,1,1,1,1
1,8900,1427810,1,1,1,1,1
1,1,6789117,-100,1,1,1,1
1,1,712612,1400,1,1,1,1
1,1,761028,2900,1,1,1,1
1,1,808609,4400,1,1,1,1
1,1,808599,5900,1,1,1,1
1,1,808597,7400,1,1,1,1
1,1,808597,8900,1,1,1,1
1,1,6476743,1,1,-100,1,1
1,1,869335,1,1,1400,1,1
1,1,953557,1,1,2900,1,1
1,1,976026,1,1,4400,1,1
1,1,1021317,1,1,5900,1,1
1,1,1022028,1,1,7400,1,1
1,1,1024984,1,1,8900,1,1
